Harga,Lokasi,Kamar_Tidur,Kamar_Mandi,Luas_Tanah,Luas_Bangunan,Kondisi
"Rp 3,98 Miliar - Rp 4,03 Miliar","Sawangan, Kota Depok",3-5,2-4,88 - 262,75 - 184,Baru
Rp 865 Juta,"Bekasi Utara, Kota Bekasi",3,2,60,58,Second
"Rp 564,8 Juta - Rp 1,43 Miliar","Kemang, Kab. Bogor",2-3,1-3,72 - 90,50 - 88,Baru
Rp 23 Miliar,"Cilandak, Kota Jakarta Selatan",7,6,820,500,Second
"Rp 936 Juta - Rp 1,75 Miliar","Mustikajaya (Mustika Jaya), Kota Bekasi",2-3,1-3,70 - 96,39 - 92,Baru
"Rp 3,85 Miliar","Cakung, Kota Jakarta Timur",5,4,200,185,Second
"Rp 977,9 Juta - Rp 1,42 Miliar","Legok, Kab. Tangerang",2-3,2-3,60 - 97,55 - 88,Baru
Rp 970 Juta,"Ciputat, Kota Tangerang Selatan",2,LT 60 m²,LB 70,0,Second
"Rp 1,23 Miliar - Rp 3,39 Miliar","Gunung Putri, Kab. Bogor",2-4,1-3,60 - 119,40 - 96,Baru
Rp 390 Juta,"Cipayung, Kota Depok",2,1,LB 45,0,Second
"Rp 562,5 Juta - Rp 1,57 Miliar","Curug, Kab. Tangerang",2-4,1-2,60 - 72,33 - 77,Baru
"Rp 2,95 Miliar","Kranggan, Kota Mojokerto",3,3,165,400,Second
"Rp 394,02 Juta - Rp 2,55 Miliar","Legok, Kab. Tangerang",1-3,1-2,50 - 196,26 - 101,Baru
"Rp 1,1 Miliar","Buahbatu (Margacinta), Kota Bandung",4,LT 130 m²,LB 200,0,Second
"Rp 1,38 Miliar - Rp 2,9 Miliar","Sawangan, Kota Depok",2-4,2-3,72 - 120,70 - 114,Baru
Rp 497 Juta,"Parongpong, Kab. Bandung Barat",2,1,61,51,Second
"Rp 408,2 Juta - Rp 618,2 Juta","Katapang, Kab. Bandung",2,1,60 - 66,32 - 60,Baru
Rp 230 Juta,"Tajurhalang, Kab. Bogor",2,1,55,40,Second
